exchange,symbol,quote_asset,volume_bucket,cap_bucket,market_cap,rank_score,blacklisted,source_file
binance,BINANCE:OPGUSDT,USDT,5M+,10M-100M,28393007,33,no,binance_USDT_pairs_07-jul-26.txt
binance,BINANCE:OPGUSDT.P,USDT,5M+,10M-100M,28393007,33,no,binance_USDT_perp_pairs_07-jul-26.txt
binance,BINANCE:NEIROUSDT.P,USDT,5M+,10M-100M,27578772,33,no,binance_USDT_perp_pairs_07-jul-26.txt
binance,BINANCE:GIGGLEUSDT.P,USDT,5M+,10M-100M,27159742,33,no,binance_USDT_perp_pairs_07-jul-26.txt
binance,BINANCE:CRCLBUSDT,USDT,5M+,10M-100M,27080161,33,no,binance_USDT_pairs_07-jul-26.txt
binance,BINANCE:GUSDT.P,USDT,5M+,10M-100M,25567609,33,no,binance_USDT_perp_pairs_07-jul-26.txt
binance,BINANCE:TLMUSDT,USDT,5M+,10M-100M,24681558,33,no,binance_USDT_pairs_07-jul-26.txt
binance,BINANCE:TLMUSDT.P,USDT,5M+,10M-100M,24681558,33,no,binance_USDT_perp_pairs_07-jul-26.txt
binance,BINANCE:STGUSDT.P,USDT,5M+,10M-100M,23810041,33,no,binance_USDT_perp_pairs_07-jul-26.txt
binance,BINANCE:USUSDT.P,USDT,5M+,10M-100M,22337982,33,no,binance_USDT_perp_pairs_07-jul-26.txt
binance,BINANCE:BASEDUSDT.P,USDT,5M+,10M-100M,21658630,33,no,binance_USDT_perp_pairs_07-jul-26.txt
binance,BINANCE:BIRBUSDT.P,USDT,5M+,10M-100M,20531956,33,no,binance_USDT_perp_pairs_07-jul-26.txt
binance,BINANCE:HMSTRUSDT,USDT,5M+,10M-100M,20169116,33,no,binance_USDT_pairs_07-jul-26.txt
binance,BINANCE:HMSTRUSDT.P,USDT,5M+,10M-100M,20169116,33,no,binance_USDT_perp_pairs_07-jul-26.txt
binance,BINANCE:SCRTUSDT.P,USDT,5M+,10M-100M,19052579,33,no,binance_USDT_perp_pairs_07-jul-26.txt
binance,BINANCE:MOVRUSDT.P,USDT,5M+,10M-100M,18394819,33,no,binance_USDT_perp_pairs_07-jul-26.txt
binance,BINANCE:SOMIUSDT.P,USDT,5M+,10M-100M,18365800,33,no,binance_USDT_perp_pairs_07-jul-26.txt
binance,BINANCE:PIPPINUSDT.P,USDT,5M+,10M-100M,18252076,33,no,binance_USDT_perp_pairs_07-jul-26.txt
binance,BINANCE:TAIKOUSDT.P,USDT,5M+,10M-100M,17754804,33,no,binance_USDT_perp_pairs_07-jul-26.txt
binance,BINANCE:IDUSDT.P,USDT,5M+,10M-100M,16656489,33,no,binance_USDT_perp_pairs_07-jul-26.txt
binance,BINANCE:VANRYUSDT,USDT,5M+,10M-100M,16648305,33,no,binance_USDT_pairs_07-jul-26.txt
binance,BINANCE:VANRYUSDT.P,USDT,5M+,10M-100M,16648305,33,no,binance_USDT_perp_pairs_07-jul-26.txt
binance,BINANCE:INUSDT.P,USDT,5M+,10M-100M,16605612,33,no,binance_USDT_perp_pairs_07-jul-26.txt
binance,BINANCE:MYXUSDT.P,USDT,5M+,10M-100M,15414346,33,no,binance_USDT_perp_pairs_07-jul-26.txt
binance,BINANCE:MIRAUSDT.P,USDT,5M+,10M-100M,14539707,33,no,binance_USDT_perp_pairs_07-jul-26.txt
binance,BINANCE:TAUSDT.P,USDT,5M+,10M-100M,14418450,33,no,binance_USDT_perp_pairs_07-jul-26.txt
binance,BINANCE:ALICEUSDT.P,USDT,5M+,10M-100M,13612421,33,no,binance_USDT_perp_pairs_07-jul-26.txt
binance,BINANCE:PLAYUSDT.P,USDT,5M+,10M-100M,12790587,33,no,binance_USDT_perp_pairs_07-jul-26.txt
binance,BINANCE:HEIUSDT.P,USDT,5M+,10M-100M,12693387,33,no,binance_USDT_perp_pairs_07-jul-26.txt
binance,BINANCE:EPICUSDT,USDT,5M+,10M-100M,12577793,33,no,binance_USDT_pairs_07-jul-26.txt
binance,BINANCE:EPICUSDT.P,USDT,5M+,10M-100M,12577793,33,no,binance_USDT_perp_pairs_07-jul-26.txt
binance,BINANCE:OPNUSDT.P,USDT,5M+,10M-100M,12109872,33,no,binance_USDT_perp_pairs_07-jul-26.txt
binance,BINANCE:TNSRUSDT.P,USDT,5M+,10M-100M,11698702,33,no,binance_USDT_perp_pairs_07-jul-26.txt
binance,BINANCE:BICOUSDT.P,USDT,5M+,10M-100M,10839558,33,no,binance_USDT_perp_pairs_07-jul-26.txt
binance,BINANCE:GLMUSDT.P,USDT,1M-5M,10M-100M,99966971,32,no,binance_USDT_perp_pairs_07-jul-26.txt
binance,BINANCE:SUSDT,USDT,1M-5M,10M-100M,99652062,32,no,binance_USDT_pairs_07-jul-26.txt
binance,BINANCE:SUSDT.P,USDT,1M-5M,10M-100M,99652062,32,no,binance_USDT_perp_pairs_07-jul-26.txt
binance,BINANCE:TAGUSDT.P,USDT,1M-5M,10M-100M,95189153,32,no,binance_USDT_perp_pairs_07-jul-26.txt
binance,BINANCE:ATHUSDT.P,USDT,1M-5M,10M-100M,91355553,32,no,binance_USDT_perp_pairs_07-jul-26.txt
binance,BINANCE:EGLDUSDT.P,USDT,1M-5M,10M-100M,86850913,32,no,binance_USDT_perp_pairs_07-jul-26.txt
binance,BINANCE:BANANAS31USDT.P,USDT,1M-5M,10M-100M,85815653,32,no,binance_USDT_perp_pairs_07-jul-26.txt
binance,BINANCE:COWUSDT.P,USDT,1M-5M,10M-100M,83027342,32,no,binance_USDT_perp_pairs_07-jul-26.txt
binance,BINANCE:WALUSDT.P,USDT,1M-5M,10M-100M,80853812,32,no,binance_USDT_perp_pairs_07-jul-26.txt
binance,BINANCE:FORMUSDT.P,USDT,1M-5M,10M-100M,80465075,32,no,binance_USDT_perp_pairs_07-jul-26.txt
binance,BINANCE:MELANIAUSDT.P,USDT,1M-5M,10M-100M,79932011,32,no,binance_USDT_perp_pairs_07-jul-26.txt
binance,BINANCE:ARCUSDT.P,USDT,1M-5M,10M-100M,79335508,32,no,binance_USDT_perp_pairs_07-jul-26.txt
binance,BINANCE:LPTUSDT.P,USDT,1M-5M,10M-100M,79233907,32,no,binance_USDT_perp_pairs_07-jul-26.txt
binance,BINANCE:FLUIDUSDT.P,USDT,1M-5M,10M-100M,79052573,32,no,binance_USDT_perp_pairs_07-jul-26.txt
