exchange,quote_asset,volume_bucket,cap_bucket,symbol,base_symbol,market_cap,source_file
binance,USDC,500K-1000K,100M-500M,BINANCE:PENGUUSDC.P,PENGU,417279171,binance_USDC_perp_pairs_07-jul-26.txt
binance,USDC,500K-1000K,100M-500M,BINANCE:TIAUSDC.P,TIA,359772646,binance_USDC_perp_pairs_07-jul-26.txt
binance,USDC,500K-1000K,100M-500M,BINANCE:TRUMPUSDC.P,TRUMP,392083147,binance_USDC_perp_pairs_07-jul-26.txt
binance,USDC,500K-1000K,100M-500M,BINANCE:WIFUSDC.P,WIF,168275652,binance_USDC_perp_pairs_07-jul-26.txt
binance,USDC,500K-1000K,10M-100M,BINANCE:BIOUSDC.P,BIO,63856519,binance_USDC_perp_pairs_07-jul-26.txt
binance,USDC,500K-1000K,10M-100M,BINANCE:ORDIUSDC.P,ORDI,73533257,binance_USDC_perp_pairs_07-jul-26.txt
binance,USDC,500K-1000K,500M+,BINANCE:AAVEUSDC.P,AAVE,1423140110,binance_USDC_perp_pairs_07-jul-26.txt
binance,USDC,500K-1000K,500M+,BINANCE:ADAUSDC.P,ADA,6702187370,binance_USDC_perp_pairs_07-jul-26.txt
binance,USDC,500K-1000K,500M+,BINANCE:ARBUSDC.P,ARB,500213333,binance_USDC_perp_pairs_07-jul-26.txt
binance,USDC,500K-1000K,500M+,BINANCE:AVAXUSDC.P,AVAX,2927360426,binance_USDC_perp_pairs_07-jul-26.txt
binance,USDC,500K-1000K,500M+,BINANCE:BCHUSDC.P,BCH,4789905508,binance_USDC_perp_pairs_07-jul-26.txt
binance,USDC,500K-1000K,500M+,BINANCE:BNBUSDC.P,BNB,77960724262,binance_USDC_perp_pairs_07-jul-26.txt
binance,USDC,500K-1000K,500M+,BINANCE:BTCUSDC.P,BTC,1265744153723,binance_USDC_perp_pairs_07-jul-26.txt
binance,USDC,500K-1000K,500M+,BINANCE:DOGEUSDC.P,DOGE,11626012901,binance_USDC_perp_pairs_07-jul-26.txt
binance,USDC,500K-1000K,500M+,BINANCE:ENAUSDC.P,ENA,729518162,binance_USDC_perp_pairs_07-jul-26.txt
binance,USDC,500K-1000K,500M+,BINANCE:ETHUSDC.P,ETH,213947939547,binance_USDC_perp_pairs_07-jul-26.txt
binance,USDC,500K-1000K,500M+,BINANCE:FILUSDC.P,FIL,621877919,binance_USDC_perp_pairs_07-jul-26.txt
